Successfuly read failed26/ADGRA3.fas, in total 298 sequences.
Successfuly read hg38_species_name_cleaned/ABCF1.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/ABCF2.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/ABCF3.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/ABCG1.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/ABCG4.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/ABCG5.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/ABCG8.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/ABHD1.fas, in total 355 sequences.
Successfuly read hg38_species_name_cleaned/ABHD10.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/ABHD11.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ABHD12.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/ABHD12B.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/ABHD13.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/ABHD14A.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/ABHD14B.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/ABHD15.fas, in total 396 sequences.
Successfuly read hg38_species_name_cleaned/ABHD16A.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/ABHD16B.fas, in total 369 sequences.
Successfuly read hg38_species_name_cleaned/ABHD17A.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/ABHD17B.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/ABHD17C.fas, in total 314 sequences.
Successfuly read hg38_species_name_cleaned/ABHD18.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/ABHD2.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/ABHD3.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/ABHD4.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/ABHD5.fas, in total 439 sequences.
Successfuly read hg38_species_name_cleaned/ABHD6.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/ABHD8.fas, in total 407 sequences.
Successfuly read hg38_species_name_cleaned/ABI1.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/ABI2.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/ABI3.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/ABI3BP.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/ABITRAM.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/ABL1.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/ABL2.fas, in total 411 sequences.
Successfuly read hg38_species_name_cleaned/ABLIM1.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/ABLIM2.fas, in total 416 sequences.
Successfuly read hg38_species_name_cleaned/ABLIM3.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/ABO.fas, in total 159 sequences.
Successfuly read hg38_species_name_cleaned/ABR.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ABRA.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/ABRACL.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ABRAXAS1.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/ABRAXAS2.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/ABT1.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/ABTB1.fas, in total 399 sequences.
Successfuly read hg38_species_name_cleaned/ABTB2.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/AC001226.fas, in total 393 sequences.
Successfuly read hg38_species_name_cleaned/AC004067.fas, in total 404 sequences.
Successfuly read hg38_species_name_cleaned/AC005281.fas, in total 225 sequences.
Successfuly read hg38_species_name_cleaned/AC005787.fas, in total 392 sequences.
Successfuly read hg38_species_name_cleaned/AC007040.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/AC007326.fas, in total 402 sequences.
Successfuly read hg38_species_name_cleaned/AC007906.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/AC008397.fas, in total 302 sequences.
Successfuly read hg38_species_name_cleaned/AC009412.fas, in total 377 sequences.
Successfuly read hg38_species_name_cleaned/AC010973.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/AC022506.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/AC024558.fas, in total 40 sequences.
Successfuly read hg38_species_name_cleaned/AC037459.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/AC055839.fas, in total 377 sequences.
Successfuly read hg38_species_name_cleaned/AC068870.fas, in total 384 sequences.
Successfuly read hg38_species_name_cleaned/AC083977.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/AC084756.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/AC092442.fas, in total 415 sequences.
Successfuly read hg38_species_name_cleaned/AC092835.fas, in total 394 sequences.
Successfuly read hg38_species_name_cleaned/AC093323.fas, in total 159 sequences.
Successfuly read hg38_species_name_cleaned/AC093512.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/AC099569.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/AC114402.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/AC116366.fas, in total 416 sequences.
Successfuly read hg38_species_name_cleaned/AC118281.fas, in total 14 sequences.
Successfuly read hg38_species_name_cleaned/AC119676.fas, in total 440 sequences.
Successfuly read hg38_species_name_cleaned/AC138647.fas, in total 360 sequences.
Successfuly read hg38_species_name_cleaned/AC242628.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/ACAA1.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/ACAA2.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/ACACA.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/ACACB.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/ACAD10.fas, in total 363 sequences.
Successfuly read hg38_species_name_cleaned/ACAD11.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/ACAD8.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ACAD9.fas, in total 395 sequences.
Successfuly read hg38_species_name_cleaned/ACADL.fas, in total 412 sequences.
Successfuly read hg38_species_name_cleaned/ACADM.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/ACADS.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/ACADSB.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/ACADVL.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/ACAP1.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ACAP2.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/ACAP3.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/ACAT1.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/ACAT2.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/ACBD3.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/ACBD4.fas, in total 247 sequences.
Successfuly read hg38_species_name_cleaned/ACBD5.fas, in total 394 sequences.
Successfuly read hg38_species_name_cleaned/ACBD6.fas, in total 363 sequences.
Successfuly read hg38_species_name_cleaned/ACBD7.fas, in total 404 sequences.
Successfuly read hg38_species_name_cleaned/ACCS.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/ACCSL.fas, in total 358 sequences.
Successfuly read hg38_species_name_cleaned/ACD.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/ACE.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/ACE2.fas, in total 402 sequences.
Successfuly read hg38_species_name_cleaned/ACER1.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/ACER2.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/ACER3.fas, in total 378 sequences.
Successfuly read hg38_species_name_cleaned/ACHE.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/ACIN1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/ACKR1.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/ACKR2.fas, in total 391 sequences.
Successfuly read hg38_species_name_cleaned/ACKR3.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/ACKR4.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ACLY.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/ACMSD.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/ACO1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/ACO2.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/ACOD1.fas, in total 415 sequences.
Successfuly read hg38_species_name_cleaned/ACOT1.fas, in total 321 sequences.
Successfuly read hg38_species_name_cleaned/ACOT11.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/ACOT12.fas, in total 412 sequences.
Successfuly read hg38_species_name_cleaned/ACOT13.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/ACOT2.fas, in total 282 sequences.
Successfuly read hg38_species_name_cleaned/ACOT4.fas, in total 376 sequences.
Successfuly read hg38_species_name_cleaned/ACOT6.fas, in total 403 sequences.
Successfuly read hg38_species_name_cleaned/ACOT7.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/ACOT8.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/ACOT9.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/ACOX1.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ACOX2.fas, in total 440 sequences.
Successfuly read hg38_species_name_cleaned/ACOX3.fas, in total 414 sequences.
Successfuly read hg38_species_name_cleaned/ACOXL.fas, in total 288 sequences.
Successfuly read hg38_species_name_cleaned/ACP1.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ACP2.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/ACP3.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/ACP4.fas, in total 412 sequences.
Successfuly read hg38_species_name_cleaned/ACP5.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/ACP6.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/ACP7.fas, in total 404 sequences.
Successfuly read hg38_species_name_cleaned/ACR.fas, in total 412 sequences.
Successfuly read hg38_species_name_cleaned/ACRBP.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/ACRV1.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/ACSBG1.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/ACSBG2.fas, in total 379 sequences.
Successfuly read hg38_species_name_cleaned/ACSF2.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/ACSF3.fas, in total 406 sequences.
Successfuly read hg38_species_name_cleaned/ACSL1.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/ACSL3.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/ACSL4.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/ACSL5.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/ACSL6.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/ACSM2A.fas, in total 339 sequences.
Successfuly read hg38_species_name_cleaned/ACSM2B.fas, in total 332 sequences.
Successfuly read hg38_species_name_cleaned/ACSM3.fas, in total 377 sequences.
Successfuly read hg38_species_name_cleaned/ACSM4.fas, in total 379 sequences.
Successfuly read hg38_species_name_cleaned/ACSM5.fas, in total 348 sequences.
Successfuly read hg38_species_name_cleaned/ACSM6.fas, in total 114 sequences.
Successfuly read hg38_species_name_cleaned/ACSS1.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/ACSS2.fas, in total 440 sequences.
Successfuly read hg38_species_name_cleaned/ACSS3.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/ACTA1.fas, in total 412 sequences.
Successfuly read hg38_species_name_cleaned/ACTA2.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/ACTB.fas, in total 393 sequences.
Successfuly read hg38_species_name_cleaned/ACTBL2.fas, in total 393 sequences.
Successfuly read hg38_species_name_cleaned/ACTC1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/ACTG1.fas, in total 386 sequences.
Successfuly read hg38_species_name_cleaned/ACTG2.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/ACTL10.fas, in total 404 sequences.
Successfuly read hg38_species_name_cleaned/ACTL6A.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/ACTL6B.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/ACTL7A.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/ACTL7B.fas, in total 415 sequences.
Successfuly read hg38_species_name_cleaned/ACTL8.fas, in total 375 sequences.
Successfuly read hg38_species_name_cleaned/ACTL9.fas, in total 341 sequences.
Successfuly read hg38_species_name_cleaned/ACTN1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/ACTN2.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/ACTN3.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ACTN4.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/ACTR10.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/ACTR1A.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/ACTR1B.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/ACTR2.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/ACTR3.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/ACTR3B.fas, in total 409 sequences.
Successfuly read hg38_species_name_cleaned/ACTR3C.fas, in total 415 sequences.
Successfuly read hg38_species_name_cleaned/ACTR5.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/ACTR6.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/ACTR8.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/ACTRT1.fas, in total 253 sequences.
Successfuly read hg38_species_name_cleaned/ACTRT2.fas, in total 411 sequences.
Successfuly read hg38_species_name_cleaned/ACTRT3.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/ACVR1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/ACVR1B.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/ACVR1C.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ACVR2A.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/ACVR2B.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/ACVRL1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/ACY1.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/ACY3.fas, in total 232 sequences.
Successfuly read hg38_species_name_cleaned/ACYP1.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/ACYP2.fas, in total 134 sequences.
Successfuly read hg38_species_name_cleaned/ADA.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/ADA2.fas, in total 336 sequences.
Successfuly read hg38_species_name_cleaned/ADAD1.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/ADAD2.fas, in total 407 sequences.
Successfuly read hg38_species_name_cleaned/ADAL.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/ADAM10.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/ADAM11.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/ADAM12.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/ADAM15.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/ADAM17.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/ADAM19.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/ADAM2.fas, in total 413 sequences.
Successfuly read hg38_species_name_cleaned/ADAM20.fas, in total 274 sequences.
Successfuly read hg38_species_name_cleaned/ADAM21.fas, in total 316 sequences.
Successfuly read hg38_species_name_cleaned/ADAM22.fas, in total 415 sequences.
Successfuly read hg38_species_name_cleaned/ADAM23.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/ADAM28.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/ADAM29.fas, in total 347 sequences.
Successfuly read hg38_species_name_cleaned/ADAM30.fas, in total 268 sequences.
Successfuly read hg38_species_name_cleaned/ADAM32.fas, in total 400 sequences.
Successfuly read hg38_species_name_cleaned/ADAM33.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/ADAM7.fas, in total 416 sequences.
Successfuly read hg38_species_name_cleaned/ADAM8.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/ADAM9.fas, in total 391 sequences.
Successfuly read hg38_species_name_cleaned/ADAMDEC1.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTS1.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTS10.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTS12.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTS13.fas, in total 416 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTS14.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTS15.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTS16.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTS17.fas, in total 357 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTS18.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTS19.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTS2.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTS20.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTS3.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTS4.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTS5.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTS6.fas, in total 439 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTS7.fas, in total 389 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTS8.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTS9.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTSL1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTSL2.fas, in total 414 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTSL3.fas, in total 407 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTSL4.fas, in total 417 sequences.
Successfuly read hg38_species_name_cleaned/ADAMTSL5.fas, in total 412 sequences.
Successfuly read hg38_species_name_cleaned/ADAP1.fas, in total 402 sequences.
Successfuly read hg38_species_name_cleaned/ADAP2.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/ADAR.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/ADARB1.fas, in total 389 sequences.
Successfuly read hg38_species_name_cleaned/ADARB2.fas, in total 405 sequences.
Successfuly read hg38_species_name_cleaned/ADAT1.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/ADAT2.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ADAT3.fas, in total 384 sequences.
Successfuly read hg38_species_name_cleaned/ADCK1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/ADCK2.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/ADCK5.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/ADCY1.fas, in total 406 sequences.
Successfuly read hg38_species_name_cleaned/ADCY10.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/ADCY2.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/ADCY3.fas, in total 439 sequences.
Successfuly read hg38_species_name_cleaned/ADCY4.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/ADCY5.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/ADCY6.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/ADCY7.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/ADCY8.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/ADCY9.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/ADCYAP1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/ADCYAP1R1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/ADD1.fas, in total 417 sequences.
Successfuly read hg38_species_name_cleaned/ADD2.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/ADD3.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/ADGB.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/ADGRA1.fas, in total 204 sequences.
Successfuly read hg38_species_name_cleaned/ADGRA2.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/ADGRA3.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/ADGRB1.fas, in total 382 sequences.
Successfuly read hg38_species_name_cleaned/ADGRB2.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/ADGRB3.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/ADGRD1.fas, in total 411 sequences.
